Date,Home Team,Road Team,City,State,League,Sport
08/19/23,New York Jets,Tampa Bay Buccaneers,East Rutherford,New Jersey,NFL,Football
08/19/23,Arizona Cardinals,Kansas City Chiefs,Glendale,Arizona,NFL,Football
08/19/23,Green Bay Packers,New England Patriots,Green Bay,Wisconsin,NFL,Football
08/19/23,Minnesota Vikings,Tennessee Titans,Minneapolis,Minnesota,NFL,Football
08/19/23,San Francisco 49ers,Denver Broncos,Santa Clara,California,NFL,Football
08/19/23,Los Angeles Rams,Las Vegas Raiders,Inglewood,California,NFL,Football
08/19/23,Seattle Seahawks,Dallas Cowboys,Seattle,Washington,NFL,Football
08/20/23,Los Angeles Chargers,New Orleans Saints,Inglewood,California,NFL,Football
08/21/23,Washington Commanders,Baltimore Ravens,Washington D.C.,Washington D.C.,NFL,Football
08/24/23,Atlanta Falcons,Pittsburgh Steelers,Atlanta,Georgia,NFL,Football
08/24/23,Philadelphia Eagles,Indianapolis Colts,Philadelphia,Pennsylvania,NFL,Football
08/25/23,Carolina Panthers,Detroit Lions,Charlotte,North Carolina,NFL,Football
08/25/23,Tennessee Titans,New England Patriots,Nashville,Tennessee,NFL,Football
08/25/23,San Francisco 49ers,Los Angeles Chargers,Santa Clara,California,NFL,Football
08/26/23,Chicago Bears,Buffalo Bills,Chicago,Illinois,NFL,Football
08/26/23,Green Bay Packers,Seattle Seahawks,Green Bay,Wisconsin,NFL,Football
08/26/23,Kansas City Chiefs,Cleveland Browns,Kansas City,Missouri,NFL,Football
08/26/23,Minnesota Vikings,Arizona Cardinals,Minneapolis,Minnesota,NFL,Football
08/26/23,Washington Commanders,Cincinnati Bengals,Washington D.C.,Washington D.C.,NFL,Football
08/26/23,New York Giants,New York Jets,East Rutherford,New Jersey,NFL,Football
08/26/23,Jacksonville Jaguars,Miami Dolphins,Jacksonville,Florida,NFL,Football
08/26/23,Tampa Bay Buccaneers,Baltimore Ravens,Tampa,Florida,NFL,Football
08/26/23,Dallas Cowboys,Las Vegas Raiders,Arlington,Texas,NFL,Football
08/26/23,Denver Broncos,Los Angeles Rams,Denver,Colorado,NFL,Football
08/27/23,New Orleans Saints,Houston Texans,New Orleans,Louisiana,NFL,Football
09/07/23,Kansas City Chiefs,Detroit Lions,Kansas City,Missouri,NFL,Football
09/10/23,Atlanta Falcons,Carolina Panthers,Atlanta,Georgia,NFL,Football
09/10/23,Cleveland Browns,Cincinnati Bengals,Cleveland,Ohio,NFL,Football
09/10/23,Indianapolis Colts,Jacksonville Jaguars,Indianapolis,Indiana,NFL,Football
09/10/23,Minnesota Vikings,Tampa Bay Buccaneers,Minneapolis,Minnesota,NFL,Football
09/10/23,New Orleans Saints,Tennessee Titans,New Orleans,Louisiana,NFL,Football
09/10/23,Pittsburgh Steelers,San Francisco 49ers,Pittsburgh,Pennsylvania,NFL,Football
09/10/23,Baltimore Ravens,Houston Texans,Baltimore,Maryland,NFL,Football
09/10/23,Washington Commanders,Arizona Cardinals,Washington D.C.,Washington D.C.,NFL,Football
09/10/23,Chicago Bears,Green Bay Packers,Chicago,Illinois,NFL,Football
09/10/23,Denver Broncos,Las Vegas Raiders,Denver,Colorado,NFL,Football
09/10/23,New England Patriots,Philadelphia Eagles,Foxborough,Massachusetts,NFL,Football
09/10/23,Los Angeles Chargers,Miami Dolphins,Inglewood,California,NFL,Football
09/10/23,Seattle Seahawks,Los Angeles Rams,Seattle,Washington,NFL,Football
09/10/23,New York Giants,Dallas Cowboys,East Rutherford,New Jersey,NFL,Football
09/11/23,New York Jets,Buffalo Bills,East Rutherford,New Jersey,NFL,Football
09/14/23,Philadelphia Eagles,Minnesota Vikings,Philadelphia,Pennsylvania,NFL,Football
09/17/23,Atlanta Falcons,Green Bay Packers,Atlanta,Georgia,NFL,Football
09/17/23,Buffalo Bills,Las Vegas Raiders,Buffalo,New York,NFL,Football
09/17/23,Cincinnati Bengals,Baltimore Ravens,Cincinnati,Ohio,NFL,Football
09/17/23,Detroit Lions,Seattle Seahawks,Detroit,Michigan,NFL,Football
09/17/23,Houston Texans,Indianapolis Colts,Houston,Texas,NFL,Football
09/17/23,Jacksonville Jaguars,Kansas City Chiefs,Jacksonville,Florida,NFL,Football
09/17/23,Tennessee Titans,Los Angeles Chargers,Nashville,Tennessee,NFL,Football
09/17/23,Tampa Bay Buccaneers,Chicago Bears,Tampa,Florida,NFL,Football
09/17/23,Arizona Cardinals,New York Giants,Glendale,Arizona,NFL,Football
09/17/23,Los Angeles Rams,San Francisco 49ers,Inglewood,California,NFL,Football
09/17/23,Dallas Cowboys,New York Jets,Arlington,Texas,NFL,Football
09/17/23,Denver Broncos,Washington Commanders,Denver,Colorado,NFL,Football
09/17/23,New England Patriots,Miami Dolphins,Foxborough,Massachusetts,NFL,Football
09/18/23,Carolina Panthers,New Orleans Saints,Charlotte,North Carolina,NFL,Football
09/18/23,Pittsburgh Steelers,Cleveland Browns,Pittsburgh,Pennsylvania,NFL,Football
09/21/23,San Francisco 49ers,New York Giants,Santa Clara,California,NFL,Football
09/24/23,Cleveland Browns,Tennessee Titans,Cleveland,Ohio,NFL,Football
09/24/23,Detroit Lions,Atlanta Falcons,Detroit,Michigan,NFL,Football
09/24/23,Green Bay Packers,New Orleans Saints,Green Bay,Wisconsin,NFL,Football
09/24/23,Jacksonville Jaguars,Houston Texans,Jacksonville,Florida,NFL,Football
09/24/23,Miami Dolphins,Denver Broncos,Miami Gardens,Florida,NFL,Football
09/24/23,Minnesota Vikings,Los Angeles Chargers,Minneapolis,Minnesota,NFL,Football
09/24/23,New York Jets,New England Patriots,East Rutherford,New Jersey,NFL,Football
09/24/23,Baltimore Ravens,Indianapolis Colts,Baltimore,Maryland,NFL,Football
09/24/23,Washington Commanders,Buffalo Bills,Washington D.C.,Washington D.C.,NFL,Football
09/24/23,Seattle Seahawks,Carolina Panthers,Seattle,Washington,NFL,Football
09/24/23,Arizona Cardinals,Dallas Cowboys,Glendale,Arizona,NFL,Football
09/24/23,Kansas City Chiefs,Chicago Bears,Kansas City,Missouri,NFL,Football
09/24/23,Las Vegas Raiders,Pittsburgh Steelers,Las Vegas,Nevada,NFL,Football
09/25/23,Tampa Bay Buccaneers,Philadelphia Eagles,Tampa,Florida,NFL,Football
09/25/23,Cincinnati Bengals,Los Angeles Rams,Cincinnati,Ohio,NFL,Football
09/28/23,Green Bay Packers,Detroit Lions,Green Bay,Wisconsin,NFL,Football
10/01/23,Jacksonville Jaguars,Atlanta Falcons,Jacksonville,Florida,NFL,Football
10/01/23,Buffalo Bills,Miami Dolphins,Buffalo,New York,NFL,Football
10/01/23,Carolina Panthers,Minnesota Vikings,Charlotte,North Carolina,NFL,Football
10/01/23,Chicago Bears,Denver Broncos,Chicago,Illinois,NFL,Football
10/01/23,Cleveland Browns,Baltimore Ravens,Cleveland,Ohio,NFL,Football
10/01/23,Indianapolis Colts,Los Angeles Rams,Indianapolis,Indiana,NFL,Football
10/01/23,Houston Texans,Pittsburgh Steelers,Houston,Texas,NFL,Football
10/01/23,New Orleans Saints,Tampa Bay Buccaneers,New Orleans,Louisiana,NFL,Football
10/01/23,Tennessee Titans,Cincinnati Bengals,Nashville,Tennessee,NFL,Football
10/01/23,Philadelphia Eagles,Washington Commanders,Philadelphia,Pennsylvania,NFL,Football
10/01/23,Los Angeles Chargers,Las Vegas Raiders,Inglewood,California,NFL,Football
10/01/23,Dallas Cowboys,New England Patriots,Arlington,Texas,NFL,Football
10/01/23,San Francisco 49ers,Arizona Cardinals,Santa Clara,California,NFL,Football
10/01/23,New York Jets,Kansas City Chiefs,East Rutherford,New Jersey,NFL,Football
10/02/23,New York Giants,Seattle Seahawks,East Rutherford,New Jersey,NFL,Football
10/05/23,Washington Commanders,Chicago Bears,Washington D.C.,Washington D.C.,NFL,Football
10/08/23,Buffalo Bills,Jacksonville Jaguars,Buffalo,New York,NFL,Football
10/08/23,Atlanta Falcons,Houston Texans,Atlanta,Georgia,NFL,Football
10/08/23,Indianapolis Colts,Tennessee Titans,Indianapolis,Indiana,NFL,Football
10/08/23,Detroit Lions,Carolina Panthers,Detroit,Michigan,NFL,Football
10/08/23,Miami Dolphins,New York Giants,Miami Gardens,Florida,NFL,Football
10/08/23,New England Patriots,New Orleans Saints,Foxborough,Massachusetts,NFL,Football
10/08/23,Pittsburgh Steelers,Baltimore Ravens,Pittsburgh,Pennsylvania,NFL,Football
10/08/23,Arizona Cardinals,Cincinnati Bengals,Glendale,Arizona,NFL,Football
10/08/23,Los Angeles Rams,Philadelphia Eagles,Inglewood,California,NFL,Football
10/08/23,Denver Broncos,New York Jets,Denver,Colorado,NFL,Football
10/08/23,Minnesota Vikings,Kansas City Chiefs,Minneapolis,Minnesota,NFL,Football
10/08/23,San Francisco 49ers,Dallas Cowboys,Santa Clara,California,NFL,Football
10/09/23,Las Vegas Raiders,Green Bay Packers,Las Vegas,Nevada,NFL,Football
10/12/23,Kansas City Chiefs,Denver Broncos,Kansas City,Missouri,NFL,Football
10/15/23,Tennessee Titans,Baltimore Ravens,Nashville,Tennessee,NFL,Football
10/15/23,Atlanta Falcons,Washington Commanders,Atlanta,Georgia,NFL,Football
10/15/23,Chicago Bears,Minnesota Vikings,Chicago,Illinois,NFL,Football
10/15/23,Cincinnati Bengals,Seattle Seahawks,Cincinnati,Ohio,NFL,Football
10/15/23,Cleveland Browns,San Francisco 49ers,Cleveland,Ohio,NFL,Football
10/15/23,Houston Texans,New Orleans Saints,Houston,Texas,NFL,Football
10/15/23,Jacksonville Jaguars,Indianapolis Colts,Jacksonville,Florida,NFL,Football
10/15/23,Miami Dolphins,Carolina Panthers,Miami Gardens,Florida,NFL,Football
10/15/23,Tampa Bay Buccaneers,Detroit Lions,Tampa,Florida,NFL,Football
10/15/23,Las Vegas Raiders,New England Patriots,Las Vegas,Nevada,NFL,Football
10/15/23,New York Jets,Philadelphia Eagles,East Rutherford,New Jersey,NFL,Football
10/15/23,Los Angeles Rams,Arizona Cardinals,Inglewood,California,NFL,Football
10/15/23,Buffalo Bills,New York Giants,Buffalo,New York,NFL,Football
10/16/23,Los Angeles Chargers,Dallas Cowboys,Inglewood,California,NFL,Football
10/19/23,New Orleans Saints,Jacksonville Jaguars,New Orleans,Louisiana,NFL,Football
10/22/23,Chicago Bears,Las Vegas Raiders,Chicago,Illinois,NFL,Football
10/22/23,Indianapolis Colts,Cleveland Browns,Indianapolis,Indiana,NFL,Football
10/22/23,New England Patriots,Buffalo Bills,Foxborough,Massachusetts,NFL,Football
10/22/23,New York Giants,Washington Commanders,East Rutherford,New Jersey,NFL,Football
10/22/23,Baltimore Ravens,Detroit Lions,Baltimore,Maryland,NFL,Football
10/22/23,Tampa Bay Buccaneers,Atlanta Falcons,Tampa,Florida,NFL,Football
10/22/23,Los Angeles Rams,Pittsburgh Steelers,Inglewood,California,NFL,Football
10/22/23,Seattle Seahawks,Arizona Cardinals,Seattle,Washington,NFL,Football
10/22/23,Denver Broncos,Green Bay Packers,Denver,Colorado,NFL,Football
10/22/23,Kansas City Chiefs,Los Angeles Chargers,Kansas City,Missouri,NFL,Football
10/22/23,Philadelphia Eagles,Miami Dolphins,Philadelphia,Pennsylvania,NFL,Football
10/23/23,Minnesota Vikings,San Francisco 49ers,Minneapolis,Minnesota,NFL,Football
10/26/23,Buffalo Bills,Tampa Bay Buccaneers,Buffalo,New York,NFL,Football
10/29/23,Carolina Panthers,Houston Texans,Charlotte,North Carolina,NFL,Football
10/29/23,Indianapolis Colts,New Orleans Saints,Indianapolis,Indiana,NFL,Football
10/29/23,Dallas Cowboys,Los Angeles Rams,Arlington,Texas,NFL,Football
10/29/23,Green Bay Packers,Minnesota Vikings,Green Bay,Wisconsin,NFL,Football
10/29/23,Miami Dolphins,New England Patriots,Miami Gardens,Florida,NFL,Football
10/29/23,New York Giants,New York Jets,East Rutherford,New Jersey,NFL,Football
10/29/23,Tennessee Titans,Atlanta Falcons,Nashville,Tennessee,NFL,Football
10/29/23,Pittsburgh Steelers,Jacksonville Jaguars,Pittsburgh,Pennsylvania,NFL,Football
10/29/23,Washington Commanders,Philadelphia Eagles,Washington D.C.,Washington D.C.,NFL,Football
10/29/23,Seattle Seahawks,Cleveland Browns,Seattle,Washington,NFL,Football
10/29/23,Arizona Cardinals,Baltimore Ravens,Glendale,Arizona,NFL,Football
10/29/23,Denver Broncos,Kansas City Chiefs,Denver,Colorado,NFL,Football
10/29/23,San Francisco 49ers,Cincinnati Bengals,Santa Clara,California,NFL,Football
10/29/23,Los Angeles Chargers,Chicago Bears,Inglewood,California,NFL,Football
10/30/23,Detroit Lions,Las Vegas Raiders,Detroit,Michigan,NFL,Football
11/02/23,Pittsburgh Steelers,Tennessee Titans,Pittsburgh,Pennsylvania,NFL,Football
11/05/23,Kansas City Chiefs,Miami Dolphins,Kansas City,Missouri,NFL,Football
11/05/23,Atlanta Falcons,Minnesota Vikings,Atlanta,Georgia,NFL,Football
11/05/23,Cleveland Browns,Arizona Cardinals,Cleveland,Ohio,NFL,Football
11/05/23,Green Bay Packers,Los Angeles Rams,Green Bay,Wisconsin,NFL,Football
11/05/23,Houston Texans,Tampa Bay Buccaneers,Houston,Texas,NFL,Football
11/05/23,New Orleans Saints,Chicago Bears,New Orleans,Louisiana,NFL,Football
11/05/23,New England Patriots,Washington Commanders,Foxborough,Massachusetts,NFL,Football
11/05/23,Baltimore Ravens,Seattle Seahawks,Baltimore,Maryland,NFL,Football
11/05/23,Carolina Panthers,Indianapolis Colts,Charlotte,North Carolina,NFL,Football
11/05/23,Philadelphia Eagles,Dallas Cowboys,Philadelphia,Pennsylvania,NFL,Football
11/05/23,Las Vegas Raiders,New York Giants,Las Vegas,Nevada,NFL,Football
11/05/23,Cincinnati Bengals,Buffalo Bills,Cincinnati,Ohio,NFL,Football
11/06/23,New York Jets,Los Angeles Chargers,East Rutherford,New Jersey,NFL,Football
11/09/23,Chicago Bears,Carolina Panthers,Chicago,Illinois,NFL,Football
11/12/23,New England Patriots,Indianapolis Colts,Foxborough,Massachusetts,NFL,Football
11/12/23,Cincinnati Bengals,Houston Texans,Cincinnati,Ohio,NFL,Football
11/12/23,Jacksonville Jaguars,San Francisco 49ers,Jacksonville,Florida,NFL,Football
11/12/23,Minnesota Vikings,New Orleans Saints,Minneapolis,Minnesota,NFL,Football
11/12/23,Pittsburgh Steelers,Green Bay Packers,Pittsburgh,Pennsylvania,NFL,Football
11/12/23,Baltimore Ravens,Cleveland Browns,Baltimore,Maryland,NFL,Football
11/12/23,Tampa Bay Buccaneers,Tennessee Titans,Tampa,Florida,NFL,Football
11/12/23,Arizona Cardinals,Atlanta Falcons,Glendale,Arizona,NFL,Football
11/12/23,Los Angeles Chargers,Detroit Lions,Inglewood,California,NFL,Football
11/12/23,Dallas Cowboys,New York Giants,Arlington,Texas,NFL,Football
11/12/23,Seattle Seahawks,Washington Commanders,Seattle,Washington,NFL,Football
11/12/23,Las Vegas Raiders,New York Jets,Las Vegas,Nevada,NFL,Football
11/13/23,Buffalo Bills,Denver Broncos,Buffalo,New York,NFL,Football
11/16/23,Baltimore Ravens,Cincinnati Bengals,Baltimore,Maryland,NFL,Football
11/19/23,Carolina Panthers,Dallas Cowboys,Charlotte,North Carolina,NFL,Football
11/19/23,Cleveland Browns,Pittsburgh Steelers,Cleveland,Ohio,NFL,Football
11/19/23,Detroit Lions,Chicago Bears,Detroit,Michigan,NFL,Football
11/19/23,Green Bay Packers,Los Angeles Chargers,Green Bay,Wisconsin,NFL,Football
11/19/23,Houston Texans,Arizona Cardinals,Houston,Texas,NFL,Football
11/19/23,Jacksonville Jaguars,Tennessee Titans,Jacksonville,Florida,NFL,Football
11/19/23,Miami Dolphins,Las Vegas Raiders,Miami Gardens,Florida,NFL,Football
11/19/23,Washington Commanders,New York Giants,Washington D.C.,Washington D.C.,NFL,Football
11/19/23,San Francisco 49ers,Tampa Bay Buccaneers,Santa Clara,California,NFL,Football
11/19/23,Buffalo Bills,New York Jets,Buffalo,New York,NFL,Football
11/19/23,Los Angeles Rams,Seattle Seahawks,Inglewood,California,NFL,Football
11/19/23,Denver Broncos,Minnesota Vikings,Denver,Colorado,NFL,Football
11/20/23,Kansas City Chiefs,Philadelphia Eagles,Kansas City,Missouri,NFL,Football
11/23/23,Detroit Lions,Green Bay Packers,Detroit,Michigan,NFL,Football
11/23/23,Dallas Cowboys,Washington Commanders,Arlington,Texas,NFL,Football
11/23/23,Seattle Seahawks,San Francisco 49ers,Seattle,Washington,NFL,Football
11/24/23,New York Jets,Miami Dolphins,East Rutherford,New Jersey,NFL,Football
11/26/23,Atlanta Falcons,New Orleans Saints,Atlanta,Georgia,NFL,Football
11/26/23,Cincinnati Bengals,Pittsburgh Steelers,Cincinnati,Ohio,NFL,Football
11/26/23,Indianapolis Colts,Tampa Bay Buccaneers,Indianapolis,Indiana,NFL,Football
11/26/23,Houston Texans,Jacksonville Jaguars,Houston,Texas,NFL,Football
11/26/23,New York Giants,New England Patriots,East Rutherford,New Jersey,NFL,Football
11/26/23,Tennessee Titans,Carolina Panthers,Nashville,Tennessee,NFL,Football
11/26/23,Arizona Cardinals,Los Angeles Rams,Glendale,Arizona,NFL,Football
11/26/23,Denver Broncos,Cleveland Browns,Denver,Colorado,NFL,Football
11/26/23,Philadelphia Eagles,Buffalo Bills,Philadelphia,Pennsylvania,NFL,Football
11/26/23,Las Vegas Raiders,Kansas City Chiefs,Las Vegas,Nevada,NFL,Football
11/26/23,Los Angeles Chargers,Baltimore Ravens,Inglewood,California,NFL,Football
11/27/23,Minnesota Vikings,Chicago Bears,Minneapolis,Minnesota,NFL,Football
11/30/23,Dallas Cowboys,Seattle Seahawks,Arlington,Texas,NFL,Football
12/03/23,New Orleans Saints,Detroit Lions,New Orleans,Louisiana,NFL,Football
12/03/23,New England Patriots,Los Angeles Chargers,Foxborough,Massachusetts,NFL,Football
12/03/23,New York Jets,Atlanta Falcons,East Rutherford,New Jersey,NFL,Football
12/03/23,Tennessee Titans,Indianapolis Colts,Nashville,Tennessee,NFL,Football
12/03/23,Pittsburgh Steelers,Arizona Cardinals,Pittsburgh,Pennsylvania,NFL,Football
12/03/23,Tampa Bay Buccaneers,Carolina Panthers,Tampa,Florida,NFL,Football
12/03/23,Washington Commanders,Miami Dolphins,Washington D.C.,Washington D.C.,NFL,Football
12/03/23,Houston Texans,Denver Broncos,Houston,Texas,NFL,Football
12/03/23,Philadelphia Eagles,San Francisco 49ers,Philadelphia,Pennsylvania,NFL,Football
12/03/23,Los Angeles Rams,Cleveland Browns,Inglewood,California,NFL,Football
12/03/23,Green Bay Packers,Kansas City Chiefs,Green Bay,Wisconsin,NFL,Football
12/04/23,Jacksonville Jaguars,Cincinnati Bengals,Jacksonville,Florida,NFL,Football
12/07/23,Pittsburgh Steelers,New England Patriots,Pittsburgh,Pennsylvania,NFL,Football
12/10/23,Atlanta Falcons,Tampa Bay Buccaneers,Atlanta,Georgia,NFL,Football
12/10/23,Chicago Bears,Detroit Lions,Chicago,Illinois,NFL,Football
12/10/23,Cincinnati Bengals,Indianapolis Colts,Cincinnati,Ohio,NFL,Football
12/10/23,Cleveland Browns,Jacksonville Jaguars,Cleveland,Ohio,NFL,Football
12/10/23,New Orleans Saints,Carolina Panthers,New Orleans,Louisiana,NFL,Football
12/10/23,New York Jets,Houston Texans,East Rutherford,New Jersey,NFL,Football
12/10/23,Baltimore Ravens,Los Angeles Rams,Baltimore,Maryland,NFL,Football
12/10/23,Las Vegas Raiders,Minnesota Vikings,Las Vegas,Nevada,NFL,Football
12/10/23,San Francisco 49ers,Seattle Seahawks,Santa Clara,California,NFL,Football
12/10/23,Kansas City Chiefs,Buffalo Bills,Kansas City,Missouri,NFL,Football
12/10/23,Los Angeles Chargers,Denver Broncos,Inglewood,California,NFL,Football
12/10/23,Dallas Cowboys,Philadelphia Eagles,Arlington,Texas,NFL,Football
12/11/23,Miami Dolphins,Tennessee Titans,Miami Gardens,Florida,NFL,Football
12/11/23,New York Giants,Green Bay Packers,East Rutherford,New Jersey,NFL,Football
12/14/23,Las Vegas Raiders,Los Angeles Chargers,Las Vegas,Nevada,NFL,Football
12/17/23,Carolina Panthers,Atlanta Falcons,Charlotte,North Carolina,NFL,Football
12/17/23,Cincinnati Bengals,Minnesota Vikings,Cincinnati,Ohio,NFL,Football
12/17/23,Cleveland Browns,Chicago Bears,Cleveland,Ohio,NFL,Football
12/17/23,Indianapolis Colts,Pittsburgh Steelers,Indianapolis,Indiana,NFL,Football
12/17/23,Detroit Lions,Denver Broncos,Detroit,Michigan,NFL,Football
12/17/23,Green Bay Packers,Tampa Bay Buccaneers,Green Bay,Wisconsin,NFL,Football
12/17/23,Miami Dolphins,New York Jets,Miami Gardens,Florida,NFL,Football
12/17/23,New Orleans Saints,New York Giants,New Orleans,Louisiana,NFL,Football
12/17/23,Tennessee Titans,Houston Texans,Nashville,Tennessee,NFL,Football
12/17/23,Arizona Cardinals,San Francisco 49ers,Glendale,Arizona,NFL,Football
12/17/23,Los Angeles Rams,Washington Commanders,Inglewood,California,NFL,Football
12/17/23,Buffalo Bills,Dallas Cowboys,Buffalo,New York,NFL,Football
12/17/23,Seattle Seahawks,Philadelphia Eagles,Seattle,Washington,NFL,Football
12/17/23,Jacksonville Jaguars,Baltimore Ravens,Jacksonville,Florida,NFL,Football
12/18/23,New England Patriots,Kansas City Chiefs,Foxborough,Massachusetts,NFL,Football
12/21/23,Los Angeles Rams,New Orleans Saints,Inglewood,California,NFL,Football
12/23/23,Pittsburgh Steelers,Cincinnati Bengals,Pittsburgh,Pennsylvania,NFL,Football
12/23/23,Los Angeles Chargers,Buffalo Bills,Inglewood,California,NFL,Football
12/24/23,Atlanta Falcons,Indianapolis Colts,Atlanta,Georgia,NFL,Football
12/24/23,Carolina Panthers,Green Bay Packers,Charlotte,North Carolina,NFL,Football
12/24/23,Houston Texans,Cleveland Browns,Houston,Texas,NFL,Football
12/24/23,Minnesota Vikings,Detroit Lions,Minneapolis,Minnesota,NFL,Football
12/24/23,New York Jets,Washington Commanders,East Rutherford,New Jersey,NFL,Football
12/24/23,Tennessee Titans,Seattle Seahawks,Nashville,Tennessee,NFL,Football
12/24/23,Tampa Bay Buccaneers,Jacksonville Jaguars,Tampa,Florida,NFL,Football
12/24/23,Chicago Bears,Arizona Cardinals,Chicago,Illinois,NFL,Football
12/24/23,Miami Dolphins,Dallas Cowboys,Miami Gardens,Florida,NFL,Football
12/24/23,Denver Broncos,New England Patriots,Denver,Colorado,NFL,Football
12/25/23,Kansas City Chiefs,Las Vegas Raiders,Kansas City,Missouri,NFL,Football
12/25/23,Philadelphia Eagles,New York Giants,Philadelphia,Pennsylvania,NFL,Football
12/25/23,San Francisco 49ers,Baltimore Ravens,Santa Clara,California,NFL,Football
12/28/23,Cleveland Browns,New York Jets,Cleveland,Ohio,NFL,Football
12/30/23,Dallas Cowboys,Detroit Lions,Arlington,Texas,NFL,Football
12/31/23,Buffalo Bills,New England Patriots,Buffalo,New York,NFL,Football
12/31/23,Chicago Bears,Atlanta Falcons,Chicago,Illinois,NFL,Football
12/31/23,Indianapolis Colts,Las Vegas Raiders,Indianapolis,Indiana,NFL,Football
12/31/23,Houston Texans,Tennessee Titans,Houston,Texas,NFL,Football
12/31/23,Jacksonville Jaguars,Carolina Panthers,Jacksonville,Florida,NFL,Football
12/31/23,New York Giants,Los Angeles Rams,East Rutherford,New Jersey,NFL,Football
12/31/23,Philadelphia Eagles,Arizona Cardinals,Philadelphia,Pennsylvania,NFL,Football
12/31/23,Baltimore Ravens,Miami Dolphins,Baltimore,Maryland,NFL,Football
12/31/23,Tampa Bay Buccaneers,New Orleans Saints,Tampa,Florida,NFL,Football
12/31/23,Washington Commanders,San Francisco 49ers,Washington D.C.,Washington D.C.,NFL,Football
12/31/23,Seattle Seahawks,Pittsburgh Steelers,Seattle,Washington,NFL,Football
12/31/23,Denver Broncos,Los Angeles Chargers,Denver,Colorado,NFL,Football
12/31/23,Kansas City Chiefs,Cincinnati Bengals,Kansas City,Missouri,NFL,Football
12/31/23,Minnesota Vikings,Green Bay Packers,Minneapolis,Minnesota,NFL,Football
01/07/24,Carolina Panthers,Tampa Bay Buccaneers,Charlotte,North Carolina,NFL,Football
01/07/24,Cincinnati Bengals,Cleveland Browns,Cincinnati,Ohio,NFL,Football
01/07/24,Indianapolis Colts,Houston Texans,Indianapolis,Indiana,NFL,Football
01/07/24,Arizona Cardinals,Seattle Seahawks,Glendale,Arizona,NFL,Football
01/07/24,Detroit Lions,Minnesota Vikings,Detroit,Michigan,NFL,Football
01/07/24,Green Bay Packers,Chicago Bears,Green Bay,Wisconsin,NFL,Football
01/07/24,Miami Dolphins,Buffalo Bills,Miami Gardens,Florida,NFL,Football
01/07/24,New Orleans Saints,Atlanta Falcons,New Orleans,Louisiana,NFL,Football
01/07/24,New England Patriots,New York Jets,Foxborough,Massachusetts,NFL,Football
01/07/24,New York Giants,Philadelphia Eagles,East Rutherford,New Jersey,NFL,Football
01/07/24,Tennessee Titans,Jacksonville Jaguars,Nashville,Tennessee,NFL,Football
01/07/24,Las Vegas Raiders,Denver Broncos,Las Vegas,Nevada,NFL,Football
01/07/24,Baltimore Ravens,Pittsburgh Steelers,Baltimore,Maryland,NFL,Football
01/07/24,Los Angeles Chargers,Kansas City Chiefs,Inglewood,California,NFL,Football
01/07/24,San Francisco 49ers,Los Angeles Rams,Santa Clara,California,NFL,Football
01/07/24,Washington Commanders,Dallas Cowboys,Washington D.C.,Washington D.C.,NFL,Football
